asset_key,trade_date,invested,value,return_pct,daily_return_pct
csi300,2014-01-15,100.0,100.0,0.0,0.0
csi300,2014-01-16,200.0,200.04,0.0222,0.0444
csi300,2014-01-17,300.0,297.21,-0.9315,-1.4191
csi300,2014-01-20,400.0,395.73,-1.0663,-0.4948
csi300,2014-01-21,500.0,490.37,-1.9264,-1.3562
csi300,2014-01-22,600.0,603.85,0.642,2.7498
csi300,2014-01-23,700.0,700.62,0.0885,-0.5352
csi300,2014-01-24,800.0,804.39,0.5487,0.5381
csi300,2014-01-27,900.0,893.99,-0.6683,-1.2935
csi300,2014-01-28,1000.0,994.79,-0.5207,0.0904
csi300,2014-01-29,1100.0,1097.94,-0.1875,0.316
csi300,2014-01-30,1200.0,1182.62,-1.4484,-1.3951
csi300,2014-02-07,1300.0,1290.18,-0.7557,0.639
csi300,2014-02-10,1400.0,1427.62,1.9731,2.9025
csi300,2014-02-11,1500.0,1534.54,2.303,0.4848
csi300,2014-02-12,1600.0,1637.24,2.3273,0.1754
csi300,2014-02-13,1700.0,1732.94,1.9374,-0.2627
csi300,2014-02-14,1800.0,1839.02,2.1678,0.3512
csi300,2014-02-17,1900.0,1951.89,2.7312,0.6999
csi300,2014-02-18,2000.0,2029.0,1.45,-1.1729
csi300,2014-02-19,2100.0,2155.76,2.655,1.3187
csi300,2014-02-20,2200.0,2237.05,1.6841,-0.8677
csi300,2014-02-21,2300.0,2311.6,0.5042,-1.1379
csi300,2014-02-24,2400.0,2359.41,-1.6913,-2.2576
csi300,2014-02-25,2500.0,2398.5,-4.06,-2.5815
csi300,2014-02-26,2600.0,2501.84,-3.7752,0.1395
csi300,2014-02-27,2700.0,2596.04,-3.8505,-0.2321
csi300,2014-02-28,2800.0,2722.61,-2.7638,1.0237
csi300,2014-03-03,2900.0,2832.65,-2.3225,0.3685
csi300,2014-03-04,3000.0,2926.15,-2.4618,-0.2295
csi300,2014-03-05,3100.0,3000.57,-3.2073,-0.874
csi300,2014-03-06,3200.0,3115.89,-2.6285,0.5104
csi300,2014-03-07,3300.0,3205.82,-2.854,-0.3232
csi300,2014-03-10,3400.0,3206.33,-5.6961,-3.1033
csi300,2014-03-11,3500.0,3320.13,-5.1392,0.4302
csi300,2014-03-12,3600.0,3423.29,-4.9087,0.0952
csi300,2014-03-13,3700.0,3577.01,-3.3242,1.5692
csi300,2014-03-14,3800.0,3646.86,-4.0299,-0.8427
csi300,2014-03-17,3900.0,3774.41,-3.2202,0.7554
csi300,2014-03-18,4000.0,3870.87,-3.2281,-0.0937
csi300,2014-03-19,4100.0,3947.27,-3.7251,-0.6098
csi300,2014-03-20,4200.0,3978.35,-5.2774,-1.7461
