asset_key,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
csi300,2012-05-28,2.551,2.607,2.544,2.604,2.574,0.03,1.1655,12775187.69,3285755.32
csi300,2012-05-29,2.602,2.661,2.602,2.644,2.604,0.04,1.5361,7149490.08,1875593.354
csi300,2012-05-30,2.642,2.647,2.633,2.636,2.644,-0.008,-0.3026,2658871.98,701725.789
csi300,2012-05-31,2.621,2.645,2.613,2.63,2.636,-0.006,-0.2276,1781559.84,468193.104
csi300,2012-06-01,2.629,2.66,2.62,2.63,2.63,0.0,0.0,1793500.35,473477.195
csi300,2012-06-04,2.601,2.604,2.555,2.558,2.63,-0.072,-2.7376,5460742.72,1413413.525
csi300,2012-06-05,2.562,2.572,2.556,2.561,2.558,0.003,0.1173,1271674.95,326150.601
csi300,2012-06-06,2.563,2.574,2.548,2.559,2.561,-0.002,-0.0781,1369227.26,350839.411
csi300,2012-06-07,2.578,2.583,2.536,2.543,2.559,-0.016,-0.6252,3364240.17,860028.328
csi300,2012-06-08,2.558,2.56,2.53,2.534,2.543,-0.009,-0.3539,2101822.14,534630.03
csi300,2012-06-11,2.543,2.577,2.536,2.564,2.534,0.03,1.1839,2254555.91,576327.103
csi300,2012-06-12,2.55,2.562,2.538,2.548,2.564,-0.016,-0.624,1577237.25,401878.82
csi300,2012-06-13,2.56,2.588,2.55,2.585,2.548,0.037,1.4521,1881335.67,483872.804
csi300,2012-06-14,2.58,2.598,2.571,2.574,2.585,-0.011,-0.4255,1525546.64,394044.038
csi300,2012-06-15,2.582,2.594,2.557,2.584,2.574,0.01,0.3885,1598352.67,411542.174
csi300,2012-06-18,2.589,2.608,2.588,2.592,2.584,0.008,0.3096,1321265.33,342959.058
csi300,2012-06-19,2.59,2.59,2.572,2.573,2.592,-0.019,-0.733,1050116.86,270933.104
csi300,2012-06-20,2.58,2.587,2.57,2.57,2.573,-0.003,-0.1166,1192773.67,307520.556
csi300,2012-06-21,2.563,2.564,2.517,2.53,2.57,-0.04,-1.5564,1792241.7,453655.58
csi300,2012-06-25,2.527,2.527,2.476,2.48,2.53,-0.05,-1.9763,2314811.08,579443.696
csi300,2012-06-26,2.472,2.485,2.462,2.48,2.48,0.0,0.0,1852289.01,458451.962
csi300,2012-06-27,2.478,2.493,2.47,2.471,2.48,-0.009,-0.3629,1513657.95,375457.752
csi300,2012-06-28,2.48,2.486,2.455,2.457,2.471,-0.014,-0.5666,1695739.5,418670.239
csi300,2012-06-29,2.451,2.488,2.448,2.485,2.457,0.028,1.1396,1972042.11,486289.905
csi300,2012-07-02,2.495,2.495,2.476,2.485,2.485,0.0,0.0,1862222.56,463059.443
csi300,2012-07-03,2.488,2.516,2.482,2.489,2.485,0.004,0.161,1469031.0,367051.138
csi300,2012-07-04,2.494,2.504,2.484,2.489,2.489,0.0,0.0,1103364.05,275036.931
csi300,2012-07-05,2.479,2.479,2.452,2.461,2.489,-0.028,-1.1249,2087739.11,513592.301
csi300,2012-07-06,2.466,2.512,2.452,2.501,2.461,0.04,1.6254,1757978.3,436554.831
csi300,2012-07-09,2.489,2.499,2.448,2.451,2.501,-0.05,-1.9992,1648643.31,408098.778
csi300,2012-07-10,2.449,2.453,2.438,2.441,2.451,-0.01,-0.408,2041959.65,499158.637
csi300,2012-07-11,2.438,2.458,2.435,2.452,2.441,0.011,0.4506,1692976.47,414092.857
csi300,2012-07-12,2.446,2.487,2.437,2.474,2.452,0.022,0.8972,2660444.4,655043.267
csi300,2012-07-13,2.473,2.496,2.471,2.478,2.474,0.004,0.1617,1778904.49,441479.099
csi300,2012-07-16,2.481,2.482,2.437,2.438,2.478,-0.04,-1.6142,2273611.07,556372.742
csi300,2012-07-17,2.437,2.449,2.431,2.443,2.438,0.005,0.2051,2585328.38,630134.24
csi300,2012-07-18,2.441,2.451,2.406,2.443,2.443,0.0,0.0,3152959.3,766719.579
csi300,2012-07-19,2.441,2.473,2.437,2.451,2.443,0.008,0.3275,3380439.84,830268.783
csi300,2012-07-20,2.445,2.451,2.427,2.433,2.451,-0.018,-0.7344,2702978.0,659710.351
csi300,2012-07-23,2.411,2.411,2.392,2.403,2.433,-0.03,-1.233,1856885.42,445845.218
csi300,2012-07-24,2.397,2.423,2.395,2.408,2.403,0.005,0.2081,2304236.65,554385.067
csi300,2012-07-25,2.4,2.414,2.39,2.393,2.408,-0.015,-0.6229,1389067.24,333627.584
csi300,2012-07-26,2.395,2.407,2.38,2.382,2.393,-0.011,-0.4597,2548959.99,610152.261
csi300,2012-07-27,2.389,2.396,2.377,2.385,2.382,0.003,0.1259,3724685.36,888581.778
csi300,2012-07-30,2.389,2.399,2.372,2.377,2.385,-0.008,-0.3354,2303206.19,549167.623
csi300,2012-07-31,2.378,2.385,2.366,2.371,2.377,-0.006,-0.2524,4214983.84,1001090.738
csi300,2012-08-01,2.372,2.401,2.372,2.389,2.371,0.018,0.7592,2615555.91,624664.26
csi300,2012-08-02,2.386,2.389,2.359,2.371,2.389,-0.018,-0.7535,2087258.21,495894.114
csi300,2012-08-03,2.375,2.386,2.368,2.385,2.371,0.014,0.5905,1737366.37,412710.948
csi300,2012-08-06,2.383,2.42,2.382,2.416,2.385,0.031,1.2998,3144257.3,755432.645
csi300,2012-08-07,2.415,2.421,2.412,2.419,2.416,0.003,0.1242,2584403.72,624693.716
csi300,2012-08-08,2.423,2.436,2.416,2.421,2.419,0.002,0.0827,2329502.12,564756.029
csi300,2012-08-09,2.422,2.448,2.412,2.445,2.421,0.024,0.9913,2010003.66,488752.02
csi300,2012-08-10,2.447,2.447,2.433,2.438,2.445,-0.007,-0.2863,1118701.03,273056.082
csi300,2012-08-13,2.431,2.431,2.389,2.392,2.438,-0.046,-1.8868,2959366.36,713474.274
csi300,2012-08-14,2.393,2.396,2.36,2.388,2.392,-0.004,-0.1672,3226022.37,767577.944
csi300,2012-08-15,2.383,2.383,2.364,2.366,2.388,-0.022,-0.9213,1910109.78,453117.708
csi300,2012-08-16,2.367,2.37,2.357,2.359,2.366,-0.007,-0.2959,1228662.66,290402.422
csi300,2012-08-17,2.359,2.36,2.335,2.349,2.359,-0.01,-0.4239,1757265.29,412189.237
