trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
2014-01-15,0.994,0.996,0.976,0.986,1.004,-0.018,-1.7928,1328553.99,130998.296
2014-01-16,0.988,0.994,0.988,0.991,0.986,0.005,0.5071,397330.3,39379.678
2014-01-17,0.993,0.993,0.985,0.987,0.991,-0.004,-0.4036,169781.01,16786.119
2014-01-20,0.983,0.988,0.982,0.982,0.987,-0.005,-0.5066,139374.0,13745.061
2014-01-21,0.982,0.996,0.97,0.984,0.982,0.002,0.2037,218529.87,21520.868
2014-01-22,0.984,0.988,0.973,0.979,0.984,-0.005,-0.5081,258991.0,25372.839
2014-01-23,0.985,0.99,0.977,0.988,0.979,0.009,0.9193,115346.98,11384.44
2014-01-24,0.983,0.994,0.98,0.99,0.988,0.002,0.2024,134146.99,13247.096
2014-01-27,0.979,0.979,0.969,0.97,0.99,-0.02,-2.0202,28052.0,2722.491
2014-01-28,0.97,0.97,0.959,0.964,0.97,-0.006,-0.6186,43444.0,4183.702
2014-01-29,0.97,0.979,0.97,0.977,0.964,0.013,1.3485,41182.0,4011.234
2014-01-30,0.965,0.967,0.961,0.967,0.977,-0.01,-1.0235,22712.0,2189.83
2014-02-07,0.963,0.973,0.962,0.973,0.967,0.006,0.6205,29875.99,2895.017
2014-02-10,0.973,0.98,0.97,0.97,0.973,-0.003,-0.3083,79147.18,7710.451
2014-02-11,0.966,0.98,0.966,0.975,0.97,0.005,0.5155,214255.98,20870.112
2014-02-12,0.978,0.989,0.975,0.987,0.975,0.012,1.2308,103932.13,10224.769
2014-02-13,0.98,0.991,0.98,0.987,0.987,0.0,0.0,59963.0,5930.564
2014-02-14,0.995,1.0,0.994,0.997,0.987,0.01,1.0132,93917.99,9351.591
2014-02-17,1.0,1.003,0.999,1.001,0.997,0.004,0.4012,93130.0,9321.102
2014-02-18,1.0,1.002,0.999,1.0,1.001,-0.001,-0.0999,68322.99,6833.306
2014-02-19,1.0,1.004,1.0,1.004,1.0,0.004,0.4,119844.0,12005.533
2014-02-20,1.0,1.002,0.995,1.0,1.004,-0.004,-0.3984,32449.0,3240.35
2014-02-21,1.001,1.006,1.001,1.003,1.0,0.003,0.3,74748.95,7510.051
2014-02-24,1.004,1.005,1.002,1.005,1.003,0.002,0.1994,37325.0,3745.747
2014-02-25,1.009,1.013,1.009,1.013,1.005,0.008,0.796,124849.0,12615.654
2014-02-26,1.009,1.016,1.009,1.016,1.013,0.003,0.2962,72219.99,7318.937
2014-02-27,1.016,1.016,1.011,1.015,1.016,-0.001,-0.0984,27036.99,2738.662
2014-02-28,1.019,1.026,1.016,1.024,1.015,0.009,0.8867,43343.99,4422.678
2014-03-03,1.025,1.03,1.02,1.026,1.024,0.002,0.1953,30975.98,3176.651
2014-03-04,1.022,1.023,1.016,1.022,1.026,-0.004,-0.3899,47514.0,4842.956
2014-03-05,1.039,1.039,1.027,1.031,1.022,0.009,0.8806,43287.71,4457.56
2014-03-06,1.03,1.034,1.028,1.033,1.031,0.002,0.194,35549.99,3662.874
2014-03-07,1.04,1.04,1.03,1.034,1.033,0.001,0.0968,36489.7,3770.353
2014-03-10,1.034,1.035,1.03,1.031,1.034,-0.003,-0.2901,35678.0,3682.825
2014-03-11,1.03,1.039,1.03,1.039,1.031,0.008,0.7759,44359.4,4586.106
2014-03-12,1.032,1.035,1.028,1.029,1.039,-0.01,-0.9625,43173.0,4449.45
2014-03-13,1.031,1.035,1.027,1.034,1.029,0.005,0.4859,63323.0,6522.613
2014-03-14,1.024,1.024,1.018,1.018,1.034,-0.016,-1.5474,37631.97,3843.551
2014-03-17,1.018,1.023,1.018,1.022,1.018,0.004,0.3929,27102.0,2764.225
2014-03-18,1.029,1.034,1.027,1.033,1.022,0.011,1.0763,25477.99,2626.432
2014-03-19,1.034,1.039,1.0,1.037,1.033,0.004,0.3872,19267.0,1993.999
2014-03-20,1.035,1.035,1.02,1.03,1.037,-0.007,-0.675,32017.0,3297.04
2014-03-21,1.036,1.037,1.033,1.033,1.03,0.003,0.2913,35795.0,3707.209
2014-03-24,1.031,1.034,1.031,1.033,1.033,0.0,0.0,15956.5,1646.603
2014-03-25,1.032,1.032,1.026,1.031,1.033,-0.002,-0.1936,17888.0,1842.746
2014-03-26,1.036,1.037,1.033,1.036,1.031,0.005,0.485,21841.0,2262.284
2014-03-27,1.033,1.033,1.027,1.029,1.036,-0.007,-0.6757,14928.0,1534.916
2014-03-28,1.027,1.028,1.025,1.028,1.029,-0.001,-0.0972,19256.97,1975.755
2014-03-31,1.032,1.033,1.029,1.033,1.028,0.005,0.4864,17046.0,1758.929
2014-04-01,1.038,1.04,1.038,1.04,1.033,0.007,0.6776,28957.41,3009.94
2014-04-02,1.04,1.049,1.04,1.048,1.04,0.008,0.7692,33295.3,3483.301
2014-04-03,1.047,1.051,1.047,1.05,1.048,0.002,0.1908,26143.0,2744.779
2014-04-04,1.049,1.05,1.047,1.049,1.05,-0.001,-0.0952,16779.0,1760.048
2014-04-08,1.022,1.03,1.022,1.029,1.049,-0.02,-1.9066,26032.97,2670.596
2014-04-09,1.035,1.035,1.027,1.03,1.029,0.001,0.0972,18880.99,1943.846
2014-04-10,1.04,1.04,1.035,1.038,1.03,0.008,0.7767,27942.0,2899.155
2014-04-11,1.008,1.016,1.008,1.014,1.038,-0.024,-2.3121,35147.0,3564.736
2014-04-14,1.009,1.009,1.005,1.008,1.014,-0.006,-0.5917,9347.9,940.656
2014-04-15,1.01,1.018,1.01,1.018,1.008,0.01,0.9921,28271.9,2876.405
2014-04-16,1.025,1.026,1.023,1.026,1.018,0.008,0.7859,5849.0,599.262
2014-04-17,1.037,1.037,1.032,1.033,1.026,0.007,0.6823,25880.9,2678.901
2014-04-18,1.037,1.037,1.032,1.034,1.033,0.001,0.0968,18468.0,1910.419
2014-04-21,1.034,1.037,1.034,1.034,1.034,0.0,0.0,12772.0,1322.897
2014-04-22,1.039,1.039,1.036,1.038,1.034,0.004,0.3868,23748.0,2464.742
2014-04-23,1.04,1.045,1.04,1.042,1.038,0.004,0.3854,31487.0,3282.516
2014-04-24,1.042,1.044,1.041,1.044,1.042,0.002,0.1919,29893.0,3116.874
2014-04-25,1.044,1.046,1.042,1.043,1.044,-0.001,-0.0958,20388.0,2129.227
2014-04-28,1.037,1.037,1.032,1.032,1.043,-0.011,-1.0547,9752.99,1007.919
2014-04-29,1.036,1.04,1.036,1.038,1.032,0.006,0.5814,13310.0,1383.311
2014-04-30,1.043,1.043,0.992,1.04,1.038,0.002,0.1927,26267.0,2664.533
2014-05-05,1.042,1.044,1.041,1.041,1.04,0.001,0.0962,6249.0,651.363
2014-05-06,1.045,1.048,1.044,1.048,1.041,0.007,0.6724,34666.6,3631.724
2014-05-07,1.035,1.038,1.035,1.038,1.048,-0.01,-0.9542,12952.0,1343.637
2014-05-08,1.042,1.042,1.04,1.042,1.038,0.004,0.3854,3552.0,369.815
2014-05-09,1.042,1.042,1.039,1.041,1.042,-0.001,-0.096,6385.0,664.127
2014-05-12,1.04,1.044,1.04,1.043,1.041,0.002,0.1921,5954.0,620.704
2014-05-13,1.045,1.053,1.045,1.051,1.043,0.008,0.767,25153.0,2644.597
2014-05-14,1.053,1.057,1.052,1.055,1.051,0.004,0.3806,41321.0,4358.586
2014-05-15,1.053,1.053,1.05,1.052,1.055,-0.003,-0.2844,34416.0,3618.615
2014-05-16,1.043,1.044,1.042,1.043,1.052,-0.009,-0.8555,50364.0,5250.573
2014-05-19,1.042,1.046,1.042,1.045,1.043,0.002,0.1918,14727.0,1539.731
2014-05-20,1.043,1.048,1.043,1.047,1.045,0.002,0.1914,23984.0,2507.781
2014-05-21,1.04,1.041,1.039,1.041,1.047,-0.006,-0.5731,9758.5,1014.978
2014-05-22,1.049,1.052,1.048,1.052,1.041,0.011,1.0567,31257.0,3284.094
2014-05-23,1.052,1.053,1.05,1.05,1.052,-0.002,-0.1901,9611.0,1009.464
2014-05-26,1.056,1.056,1.054,1.056,1.05,0.006,0.5714,19774.0,2086.165
2014-05-27,1.056,1.056,1.054,1.056,1.056,0.0,0.0,27231.0,2873.607
2014-05-28,1.061,1.062,1.06,1.061,1.056,0.005,0.4735,12368.0,1311.834
2014-05-29,1.06,1.062,1.059,1.062,1.061,0.001,0.0943,16536.28,1753.714
2014-05-30,1.066,1.068,1.066,1.067,1.062,0.005,0.4708,32842.0,3503.491
2014-06-03,1.078,1.078,1.068,1.071,1.067,0.004,0.3749,7623.99,815.446
2014-06-04,1.069,1.074,1.068,1.073,1.071,0.002,0.1867,29054.0,3113.118
2014-06-05,1.098,1.098,1.071,1.075,1.073,0.002,0.1864,24277.01,2607.712
2014-06-06,1.083,1.084,1.08,1.084,1.075,0.009,0.8372,16435.78,1778.925
2014-06-09,1.087,1.087,1.083,1.086,1.084,0.002,0.1845,10856.0,1177.522
2014-06-10,1.087,1.087,1.083,1.084,1.086,-0.002,-0.1842,6784.48,735.829
2014-06-11,1.084,1.084,1.081,1.082,1.084,-0.002,-0.1845,4277.0,462.857
2014-06-12,1.078,1.08,1.077,1.079,1.082,-0.003,-0.2773,3589.0,387.126
2014-06-13,1.068,1.073,1.068,1.071,1.079,-0.008,-0.7414,5345.0,572.541
2014-06-16,1.072,1.075,1.072,1.073,1.071,0.002,0.1867,3996.0,428.82
2014-06-17,1.073,1.075,1.073,1.075,1.073,0.002,0.1864,2206.0,237.064
2014-06-18,1.076,1.078,1.076,1.076,1.075,0.001,0.093,5730.0,616.632
2014-06-19,1.085,1.09,1.083,1.09,1.076,0.014,1.3011,20428.0,2221.303
2014-06-20,1.086,1.091,1.086,1.091,1.09,0.001,0.0917,7012.0,763.967
2014-06-23,1.1,1.186,1.089,1.092,1.091,0.001,0.0917,5688.0,624.059
2014-06-24,1.09,1.092,1.089,1.092,1.092,0.0,0.0,7660.0,835.43
2014-06-25,1.088,1.088,1.082,1.084,1.092,-0.008,-0.7326,6131.0,664.36
2014-06-26,1.087,1.09,1.087,1.09,1.084,0.006,0.5535,4379.0,476.713
2014-06-27,1.09,1.091,1.086,1.091,1.09,0.001,0.0917,6979.0,759.648
2014-06-30,1.092,1.094,1.09,1.093,1.091,0.002,0.1833,17273.9,1886.125
2014-07-01,1.091,1.094,1.091,1.093,1.093,0.0,0.0,9491.0,1036.926
2014-07-02,1.096,1.099,1.096,1.099,1.093,0.006,0.5489,6108.0,670.318
2014-07-03,1.094,1.099,1.094,1.097,1.099,-0.002,-0.182,5035.0,552.645
2014-07-04,1.102,1.105,1.101,1.105,1.097,0.008,0.7293,14645.53,1615.105
2014-07-07,1.105,1.105,1.102,1.105,1.105,0.0,0.0,13776.15,1520.304
2014-07-08,1.102,1.102,1.095,1.101,1.105,-0.004,-0.362,11768.0,1293.188
2014-07-09,1.095,1.095,1.091,1.095,1.101,-0.006,-0.545,16262.32,1776.686
2014-07-10,1.095,1.099,1.095,1.099,1.095,0.004,0.3653,12149.55,1334.028
2014-07-11,1.095,1.095,1.091,1.093,1.099,-0.006,-0.546,6720.55,733.75
2014-07-14,1.094,1.094,1.09,1.093,1.093,0.0,0.0,11123.4,1214.794
2014-07-15,1.092,1.099,1.092,1.098,1.093,0.005,0.4575,5942.0,652.455
2014-07-16,1.091,1.095,1.091,1.095,1.098,-0.003,-0.2732,5685.0,622.021
2014-07-17,1.098,1.1,1.098,1.098,1.095,0.003,0.274,6054.0,665.427
2014-07-18,1.087,1.089,1.084,1.088,1.098,-0.01,-0.9107,11023.0,1198.652
2014-07-21,1.092,1.1,1.092,1.1,1.088,0.012,1.1029,15648.62,1718.65
2014-07-22,1.095,1.098,1.095,1.098,1.1,-0.002,-0.1818,4650.0,510.119
2014-07-23,1.1,1.101,1.097,1.1,1.098,0.002,0.1821,9023.56,991.659
2014-07-24,1.104,1.104,1.099,1.1,1.1,0.0,0.0,5421.99,596.741
2014-07-25,1.1,1.103,1.098,1.1,1.1,0.0,0.0,8758.0,964.137
2014-07-28,1.098,1.099,1.095,1.099,1.1,-0.001,-0.0909,17011.0,1868.114
2014-07-29,1.095,1.099,1.095,1.099,1.099,0.0,0.0,7159.0,785.166
2014-07-30,1.094,1.095,1.092,1.095,1.099,-0.004,-0.364,6457.0,706.012
2014-07-31,1.09,1.094,1.09,1.094,1.095,-0.001,-0.0913,5649.0,617.142
2014-08-01,1.07,1.076,1.068,1.076,1.094,-0.018,-1.6453,38802.01,4156.652
2014-08-04,1.071,1.073,1.07,1.073,1.076,-0.003,-0.2788,8023.95,859.276
2014-08-05,1.077,1.077,1.072,1.074,1.073,0.001,0.0932,28032.95,3008.449
2014-08-06,1.068,1.069,1.066,1.067,1.074,-0.007,-0.6518,9198.99,981.381
2014-08-07,1.068,1.069,1.067,1.068,1.067,0.001,0.0937,3018.0,322.236
2014-08-08,1.068,1.068,1.061,1.062,1.068,-0.006,-0.5618,12827.0,1362.138
2014-08-11,1.069,1.074,1.069,1.074,1.062,0.012,1.1299,13425.0,1439.165
2014-08-12,1.074,1.077,1.073,1.073,1.074,-0.001,-0.0931,5731.0,615.577
2014-08-13,1.074,1.074,1.07,1.072,1.073,-0.001,-0.0932,6211.0,665.519
2014-08-14,1.068,1.08,1.068,1.08,1.072,0.008,0.7463,6063.0,653.638
2014-08-15,1.084,1.086,1.083,1.086,1.08,0.006,0.5556,5477.0,594.264
2014-08-18,1.085,1.087,1.082,1.086,1.086,0.0,0.0,12618.0,1368.465
2014-08-19,1.086,1.095,1.086,1.095,1.086,0.009,0.8287,5417.0,591.714
2014-08-20,1.098,1.1,1.098,1.1,1.095,0.005,0.4566,10223.0,1123.402
2014-08-21,1.1,1.102,1.1,1.101,1.1,0.001,0.0909,4916.0,541.215
2014-08-22,1.102,1.106,1.102,1.106,1.101,0.005,0.4541,4790.5,529.549
2014-08-25,1.106,1.106,1.103,1.104,1.106,-0.002,-0.1808,3642.5,402.134
2014-08-26,1.108,1.11,1.108,1.109,1.104,0.005,0.4529,7349.0,814.82
2014-08-27,1.11,1.111,1.109,1.109,1.109,0.0,0.0,7678.0,851.978
2014-08-28,1.11,1.111,1.108,1.108,1.109,-0.001,-0.0902,8664.56,960.775
2014-08-29,1.108,1.109,1.105,1.107,1.108,-0.001,-0.0903,7744.0,857.153
2014-09-01,1.111,1.114,1.11,1.111,1.107,0.004,0.3613,3637.0,404.24
2014-09-02,1.111,1.116,1.111,1.116,1.111,0.005,0.45,7939.5,884.48
2014-09-03,1.113,1.115,1.111,1.112,1.116,-0.004,-0.3584,13233.0,1471.18
2014-09-04,1.11,1.112,1.109,1.109,1.112,-0.003,-0.2698,13290.68,1475.326
2014-09-05,1.11,1.11,1.107,1.108,1.109,-0.001,-0.0902,6747.5,747.502
2014-09-09,1.107,1.113,1.107,1.107,1.108,-0.001,-0.0903,4604.0,510.214
2014-09-10,1.1,1.104,1.1,1.102,1.107,-0.005,-0.4517,5466.0,602.568
2014-09-11,1.102,1.106,1.102,1.102,1.102,0.0,0.0,5917.56,652.893
2014-09-12,1.102,1.108,1.102,1.107,1.102,0.005,0.4537,7163.0,792.452
2014-09-15,1.102,1.103,1.1,1.102,1.107,-0.005,-0.4517,5932.0,653.232
2014-09-16,1.101,1.101,1.096,1.096,1.102,-0.006,-0.5445,4581.0,502.687
2014-09-17,1.097,1.107,1.097,1.106,1.096,0.01,0.9124,4287.0,474.001
2014-09-18,1.109,1.109,1.106,1.107,1.106,0.001,0.0904,4070.0,450.813
2014-09-19,1.114,1.118,1.113,1.118,1.107,0.011,0.9937,9250.0,1032.068
2014-09-22,1.118,1.118,1.112,1.113,1.118,-0.005,-0.4472,1920.0,213.885
2014-09-23,1.107,1.107,1.102,1.105,1.113,-0.008,-0.7188,3696.0,407.831
2014-09-24,1.101,1.101,1.095,1.099,1.105,-0.006,-0.543,8407.0,922.039
2014-09-25,1.105,1.106,1.103,1.105,1.099,0.006,0.546,6534.0,721.27
2014-09-26,1.096,1.096,1.088,1.088,1.105,-0.017,-1.5385,5986.0,653.274
2014-09-29,1.095,1.1,1.095,1.098,1.088,0.01,0.9191,8633.0,947.299
2014-09-30,1.098,1.098,1.093,1.098,1.098,0.0,0.0,11897.0,1304.162
2014-10-08,1.088,1.088,1.073,1.076,1.098,-0.022,-2.0036,13997.0,1505.913
2014-10-09,1.088,1.097,1.088,1.096,1.076,0.02,1.8587,16390.0,1794.812
2014-10-10,1.079,1.079,1.069,1.074,1.096,-0.022,-2.0073,15622.01,1676.042
2014-10-13,1.062,1.062,1.056,1.06,1.074,-0.014,-1.3035,18308.0,1936.638
2014-10-14,1.05,1.052,1.041,1.051,1.06,-0.009,-0.8491,44729.0,4686.666
2014-10-15,1.05,1.05,1.044,1.049,1.051,-0.002,-0.1903,9343.0,978.366
2014-10-16,1.048,1.048,1.033,1.039,1.049,-0.01,-0.9533,28037.99,2906.092
2014-10-17,1.05,1.05,1.037,1.04,1.039,0.001,0.0962,18583.0,1932.016
2014-10-20,1.051,1.051,1.048,1.05,1.04,0.01,0.9615,14610.0,1533.199
2014-10-21,1.059,1.059,1.055,1.057,1.05,0.007,0.6667,20242.0,2138.817
2014-10-22,1.076,1.079,1.072,1.078,1.057,0.021,1.9868,27751.0,2985.667
2014-10-23,1.07,1.073,1.069,1.072,1.078,-0.006,-0.5566,12930.0,1385.467
2014-10-24,1.082,1.085,1.077,1.078,1.072,0.006,0.5597,4645.0,500.935
2014-10-27,1.085,1.092,1.08,1.088,1.078,0.01,0.9276,9283.1,1010.761
2014-10-28,1.087,1.09,1.086,1.088,1.088,0.0,0.0,5084.5,553.298
2014-10-29,1.091,1.096,1.091,1.093,1.088,0.005,0.4596,16541.0,1809.407
2014-10-30,1.093,1.096,1.092,1.092,1.093,-0.001,-0.0915,7796.0,852.434
2014-10-31,1.095,1.11,1.095,1.107,1.092,0.015,1.3736,22691.0,2502.461
2014-11-03,1.107,1.118,1.107,1.116,1.107,0.009,0.813,9826.0,1096.256
2014-11-04,1.114,1.116,1.112,1.113,1.116,-0.003,-0.2688,4830.0,537.727
2014-11-05,1.11,1.114,1.11,1.113,1.113,0.0,0.0,4864.0,541.199
2014-11-06,1.116,1.12,1.116,1.117,1.113,0.004,0.3594,7780.0,869.386
2014-11-07,1.12,1.125,1.12,1.125,1.117,0.008,0.7162,7810.1,877.487
2014-11-10,1.124,1.126,1.122,1.122,1.125,-0.003,-0.2667,13413.0,1507.202
2014-11-11,1.122,1.13,1.122,1.129,1.122,0.007,0.6239,7803.0,880.315
2014-11-12,1.129,1.129,1.124,1.126,1.129,-0.003,-0.2657,1550.0,174.454
2014-11-13,1.124,1.127,1.123,1.123,1.126,-0.003,-0.2664,6449.0,725.219
2014-11-14,1.123,1.125,1.122,1.123,1.123,0.0,0.0,14149.0,1589.793
2014-11-17,1.123,1.127,1.119,1.119,1.123,-0.004,-0.3562,9279.0,1040.373
2014-11-18,1.121,1.125,1.121,1.123,1.119,0.004,0.3575,5753.0,646.001
2014-11-19,1.124,1.133,1.124,1.132,1.123,0.009,0.8014,10869.0,1229.642
2014-11-20,1.128,1.129,1.127,1.127,1.132,-0.005,-0.4417,4167.0,469.925
2014-11-21,1.129,1.131,1.129,1.13,1.127,0.003,0.2662,6207.0,701.319
2014-11-24,1.136,1.137,1.127,1.127,1.13,-0.003,-0.2655,21934.0,2482.902
2014-11-25,1.127,1.14,1.127,1.136,1.127,0.009,0.7986,8454.0,960.335
2014-11-26,1.137,1.138,1.135,1.137,1.136,0.001,0.088,3353.0,381.202
2014-11-27,1.14,1.141,1.139,1.139,1.137,0.002,0.1759,3947.0,449.743
2014-11-28,1.14,1.142,1.139,1.139,1.139,0.0,0.0,7282.99,830.066
2014-12-01,1.137,1.138,1.131,1.132,1.139,-0.007,-0.6146,8919.0,1011.834
2014-12-02,1.128,1.13,1.126,1.127,1.132,-0.005,-0.4417,9702.11,1094.796
2014-12-03,1.13,1.137,1.13,1.134,1.127,0.007,0.6211,14607.0,1655.897
2014-12-04,1.135,1.142,1.135,1.139,1.134,0.005,0.4409,7194.0,819.066
2014-12-05,1.136,1.139,1.132,1.136,1.139,-0.003,-0.2634,14882.13,1689.355
2014-12-08,1.141,1.143,1.139,1.141,1.136,0.005,0.4401,5409.0,617.247
2014-12-09,1.132,1.133,1.13,1.13,1.141,-0.011,-0.9641,8931.0,1010.334
2014-12-10,1.135,1.135,1.13,1.133,1.13,0.003,0.2655,6232.0,705.762
2014-12-11,1.1,1.115,1.1,1.115,1.133,-0.018,-1.5887,10458.0,1158.806
2014-12-12,1.12,1.12,1.106,1.107,1.115,-0.008,-0.7175,32662.0,3629.455
2014-12-15,1.092,1.1,1.092,1.1,1.107,-0.007,-0.6323,13401.0,1470.839
2014-12-16,1.093,1.094,1.09,1.094,1.1,-0.006,-0.5455,18245.0,1993.721
2014-12-17,1.088,1.09,1.082,1.083,1.094,-0.011,-1.0055,18998.0,2057.972
2014-12-18,1.099,1.109,1.099,1.109,1.083,0.026,2.4007,10559.0,1168.862
2014-12-19,1.136,1.138,1.133,1.137,1.109,0.028,2.5248,12885.0,1463.607
2014-12-22,1.14,1.141,1.138,1.14,1.137,0.003,0.2639,12893.0,1468.921
2014-12-23,1.152,1.152,1.143,1.146,1.14,0.006,0.5263,5645.0,646.452
